node1,node2,radius
[0.90622913 0.97633015 0.00623947],[0.86795723 1.         0.00623947],0.0027848218686834466
[0.93539259 0.96192664 0.0030777 ],[0.90622913 0.97633015 0.00623947],0.0020427718696080887
[0.92194367 0.98255606 0.00436253],[0.90622913 0.97633015 0.00623947],0.00255672631693571
[0.96440038 0.94841019 0.0013061 ],[0.93539259 0.96192664 0.0030777 ],0.0016825814903538797
[0.93931538 0.94919264 0.00259317],[0.93539259 0.96192664 0.0030777 ],0.0014123615564860838
[0.93671496 0.99051504 0.0057341 ],[0.92194367 0.98255606 0.00436253],0.002201168659184846
[0.91720638 0.99227634 0.0121633 ],[0.92194367 0.98255606 0.00436253],0.0016301661512080315
[0.99347354 0.93665798 0.00365591],[0.96440038 0.94841019 0.0013061 ],0.0010936282814384937
[0.97693554 0.95294962 0.00110366],[0.96440038 0.94841019 0.0013061 ],0.0014352273815545357
[0.94224972 0.93621063 0.00179634],[0.93931538 0.94919264 0.00259317],0.0010936282814384937
[0.93442965 0.93687273 0.00405166],[0.93931538 0.94919264 0.00259317],0.0010583326651951185
[0.95072617 0.99908764 0.008558  ],[0.93671496 0.99051504 0.0057341 ],0.0015664792194487226
[0.94335388 0.97909248 0.00753063],[0.93671496 0.99051504 0.0057341 ],0.0017777385704942133
[0.91228422 1.00455146 0.01046881],[0.91720638 0.99227634 0.0121633 ],0.0010583326651951185
[0.92773671 1.00045324 0.01233113],[0.91720638 0.99227634 0.0121633 ],0.0014515864092318597
[1.02147624 0.9239362  0.00622577],[0.99347354 0.93665798 0.00365591],0.0008333333333333334
[1.00981811 0.94161156 0.00553808],[0.99347354 0.93665798 0.00365591],0.0008333333333333334
[0.98872934 0.95916551 0.0013204 ],[0.97693554 0.95294962 0.00110366],0.001282109530047321
[0.98408611 0.94655833 0.01036642],[0.97693554 0.95294962 0.00110366],0.0008333333333333334
[9.44651649e-01 9.23130656e-01 8.35774514e-04],[0.94224972 0.93621063 0.00179634],0.0008333333333333334
[0.95052393 0.93463508 0.01213234],[0.94224972 0.93621063 0.00179634],0.0008333333333333334
[0.92935076 0.92471195 0.00607602],[0.93442965 0.93687273 0.00405166],0.0008333333333333334
[0.93771417 0.92942076 0.01460902],[0.93442965 0.93687273 0.00405166],0.0008333333333333334
[0.96512218 1.00503537 0.00852278],[0.95072617 0.99908764 0.008558  ],0.0014352273815545357
[0.95103984 1.01206747 0.01159171],[0.95072617 0.99908764 0.008558  ],0.0008333333333333334
[0.95291364 0.97276971 0.01434321],[0.94335388 0.97909248 0.00753063],0.0016301661512080315
[0.93918396 0.96659673 0.00959112],[0.94335388 0.97909248 0.00753063],0.0010583326651951185
[0.90990579 1.01707512 0.01437764],[0.91228422 1.00455146 0.01046881],0.0008333333333333334
[ 9.09304411e-01  1.01146934e+00 -5.33080239e-04],[0.91228422 1.00455146 0.01046881],0.0008333333333333334
[0.93172587 1.01221235 0.0074744 ],[0.92773671 1.00045324 0.01233113],0.0008333333333333334
