node1,node2,radius
[0.04454784 0.71903145 0.00379309],[0.         0.7126683  0.00379309],0.010700541751777657
[0.07784946 0.71764143 0.00421886],[0.04454784 0.71903145 0.00379309],0.0106427666540448
[0.05409682 0.73322273 0.00216513],[0.04454784 0.71903145 0.00379309],0.004093782581188562
[0.11052657 0.71735735 0.00391665],[0.07784946 0.71764143 0.00421886],0.01063645980286061
[0.09213856 0.71405122 0.01715716],[0.07784946 0.71764143 0.00421886],0.0008333333333333334
[0.06098037 0.74713779 0.00343389],[0.05409682 0.73322273 0.00216513],0.003854811280291515
[0.06539881 0.72642587 0.00412612],[0.05409682 0.73322273 0.00216513],0.0019051083471430324
[0.14144767 0.70892336 0.00372265],[0.11052657 0.71735735 0.00391665],0.010597752132229335
[0.11984734 0.72619914 0.00748365],[0.11052657 0.71735735 0.00391665],0.0016954044426972354
[0.06712453 0.76105528 0.0060228 ],[0.06098037 0.74713779 0.00343389],0.0038241972737934884
[0.07259866 0.74803896 0.00991317],[0.06098037 0.74713779 0.00343389],0.0008333333333333334
[0.07214112 0.71668946 0.01025159],[0.06539881 0.72642587 0.00412612],0.0008333333333333334
[0.07833627 0.7290356  0.00602061],[0.06539881 0.72642587 0.00412612],0.0018435135758920393
[0.17263094 0.70499988 0.00476926],[0.14144767 0.70892336 0.00372265],0.010310334814988706
[0.1421611  0.69441185 0.00535   ],[0.14144767 0.70892336 0.00372265],0.003686796718214147
[0.12939318 0.73487405 0.01086016],[0.11984734 0.72619914 0.00748365],0.0015807882472491579
[0.12892515 0.71701988 0.0108172 ],[0.11984734 0.72619914 0.00748365],0.0008333333333333334
[0.07286144 0.77486133 0.00922914],[0.06712453 0.76105528 0.0060228 ],0.003624452261982058
[0.07856443 0.7671728  0.00910216],[0.06712453 0.76105528 0.0060228 ],0.001706982600414994
[0.09044731 0.73029372 0.01145362],[0.07833627 0.7290356  0.00602061],0.0017069826004149943
[0.09047059 0.73424001 0.00416315],[0.07833627 0.7290356  0.00602061],0.0010583326651951185
[0.20340099 0.70319249 0.00636161],[0.17263094 0.70499988 0.00476926],0.010291505653663647
[0.18270215 0.69548439 0.0109007 ],[0.17263094 0.70499988 0.00476926],0.001254759262149869
[0.14190477 0.68013838 0.00784845],[0.1421611  0.69441185 0.00535   ],0.0033770958412532035
[ 1.31142892e-01  6.89809993e-01 -5.82934492e-04],[0.1421611  0.69441185 0.00535   ],0.001963135235546713
[0.13976438 0.74315189 0.01216145],[0.12939318 0.73487405 0.01086016],0.0014515864092318597
[0.12766295 0.74753269 0.00704665],[0.12939318 0.73487405 0.01086016],0.0008333333333333334
[0.07521268 0.78796564 0.00850353],[0.07286144 0.77486133 0.00922914],0.0030484827271748346
[0.06009559 0.7783027  0.01095182],[0.07286144 0.77486133 0.00922914],0.0024194860734208234
[0.09123918 0.77117877 0.01014173],[0.07856443 0.7671728  0.00910216],0.0016301661512080315
[ 0.08301129  0.77459814 -0.0010402 ],[0.07856443 0.7671728  0.00910216],0.0008333333333333334
[0.10250259 0.73597237 0.01100537],[0.09044731 0.73029372 0.01145362],0.0014515864092318597
[0.09548217 0.7181253  0.01354105],[0.09044731 0.73029372 0.01145362],0.0012171478171303508
[ 0.10217241  0.73216482 -0.00188159],[0.09047059 0.73424001 0.00416315],0.0008333333333333334
[0.09504126 0.74553606 0.00957481],[0.09047059 0.73424001 0.00416315],0.0008333333333333334
[0.23308683 0.69715208 0.00709516],[0.20340099 0.70319249 0.00636161],0.010284861760587608
[0.21040815 0.71388516 0.01371738],[0.20340099 0.70319249 0.00636161],0.0008333333333333334
[0.18430807 0.68228566 0.00990445],[0.18270215 0.69548439 0.0109007 ],0.0010583326651951185
[0.19543401 0.69935152 0.01175088],[0.18270215 0.69548439 0.0109007 ],0.0008333333333333334
[0.14325165 0.6658783  0.00897535],[0.14190477 0.68013838 0.00784845],0.0032468428879401977
[0.13697108 0.66777056 0.00853644],[0.14190477 0.68013838 0.00784845],0.0013440816362628033
[1.18486040e-01 6.85705862e-01 2.76120868e-04],[ 1.31142892e-01  6.89809993e-01 -5.82934492e-04],0.0019051083471430328
[0.12238668 0.69284938 0.00900188],[ 1.31142892e-01  6.89809993e-01 -5.82934492e-04],0.0008333333333333334
[0.15307953 0.74312481 0.01285691],[0.13976438 0.74315189 0.01216145],0.0013440816362628033
[0.14613767 0.73910431 0.00117164],[0.13976438 0.74315189 0.01216145],0.0008333333333333334
[0.07629761 0.80125154 0.00879624],[0.07521268 0.78796564 0.00850353],0.0029475536719043593
[0.06730031 0.79854121 0.01032828],[0.07521268 0.78796564 0.00850353],0.0013440816362628033
[0.04685724 0.77688577 0.01167042],[0.06009559 0.7783027  0.01095182],0.0023809838070031693
[ 0.06048158  0.77481134 -0.0019105 ],[0.06009559 0.7783027  0.01095182],0.0008333333333333334
[0.10406577 0.77466256 0.01119973],[0.09123918 0.77117877 0.01014173],0.0013440816362628033
[0.10082616 0.76228751 0.00753157],[0.09123918 0.77117877 0.01014173],0.0012171478171303508
[0.11104349 0.74619448 0.01158779],[0.10250259 0.73597237 0.01100537],0.0008333333333333334
[0.11053968 0.72539348 0.00987836],[0.10250259 0.73597237 0.01100537],0.0013440816362628033
[0.10279322 0.70699303 0.01290939],[0.09548217 0.7181253  0.01354105],0.0010583326651951185
[0.09296672 0.71512398 0.00079577],[0.09548217 0.7181253  0.01354105],0.0008333333333333334
[0.26248384 0.69255103 0.00774113],[0.23308683 0.69715208 0.00709516],0.010006628730005405
[0.23612396 0.6826966  0.00979064],[0.23308683 0.69715208 0.00709516],0.0035745050901234716
[0.18637883 0.6715059  0.00233567],[0.18430807 0.68228566 0.00990445],0.0008333333333333334
[0.17367718 0.67484701 0.012975  ],[0.18430807 0.68228566 0.00990445],0.0008333333333333334
[0.20653694 0.69952783 0.00437038],[0.19543401 0.69935152 0.01175088],0.0008333333333333334
[0.14532307 0.65179287 0.00945547],[0.14325165 0.6658783  0.00897535],0.0031309310372059284
[0.15243632 0.65701475 0.00512084],[0.14325165 0.6658783  0.00897535],0.001254759262149869
[0.13157738 0.65610163 0.01207509],[0.13697108 0.66777056 0.00853644],0.0012171478171303508
[ 0.12747928  0.66833152 -0.00081068],[0.13697108 0.66777056 0.00853644],0.0008333333333333334
[0.10853909 0.67734534 0.00326573],[1.18486040e-01 6.85705862e-01 2.76120868e-04],0.00145158640923186
[0.10740921 0.68843489 0.00717787],[1.18486040e-01 6.85705862e-01 2.76120868e-04],0.0015457767518879816
