node1,node2,radius
[0.71775173 0.96820842 0.00726881],[0.68590373 1.         0.00726881],0.0034389789398063045
[0.74358481 0.94714884 0.00777632],[0.71775173 0.96820842 0.00726881],0.0029262655043043526
[0.73101933 0.96923718 0.00809965],[0.71775173 0.96820842 0.00726881],0.002856108188318407
[0.76078673 0.93458498 0.00609876],[0.74358481 0.94714884 0.00777632],0.0027613156149137712
[0.74854908 0.93596335 0.00248306],[0.74358481 0.94714884 0.00777632],0.0013440816362628033
[0.74381455 0.97216138 0.01044681],[0.73101933 0.96923718 0.00809965],0.0027647747958657637
[0.73017178 0.9575062  0.00181923],[0.73101933 0.96923718 0.00809965],0.0010583326651951185
[0.77426438 0.92230079 0.00439831],[0.76078673 0.93458498 0.00609876],0.0014987377253158807
[0.77326935 0.93521089 0.01074314],[0.76078673 0.93458498 0.00609876],0.0025168755249986544
[0.74777829 0.92269389 0.00353433],[0.74854908 0.93596335 0.00248306],0.0012171478171303508
[7.37037874e-01 9.29503602e-01 6.01167480e-04],[0.74854908 0.93596335 0.00248306],0.0008333333333333334
[0.75584408 0.97781697 0.00940634],[0.74381455 0.97216138 0.01044681],0.0024568581165520477
[0.74882932 0.98319486 0.00488873],[0.74381455 0.97216138 0.01044681],0.0016301661512080315
[0.73041802 0.94434709 0.00395345],[0.73017178 0.9575062  0.00181923],0.0008333333333333334
[0.71788899 0.9523618  0.00115139],[0.73017178 0.9575062  0.00181923],0.0008333333333333334
[0.77738699 0.90963433 0.00715292],[0.77426438 0.92230079 0.00439831],0.0012171478171303508
[0.78313869 0.91271738 0.00171824],[0.77426438 0.92230079 0.00439831],0.0010583326651951185
[0.78482037 0.94182912 0.01000101],[0.77326935 0.93521089 0.01074314],0.002456858116552047
[0.7837396  0.92725747 0.01295553],[0.77326935 0.93521089 0.01074314],0.0008333333333333334
[0.75507852 0.91163291 0.00207178],[0.74777829 0.92269389 0.00353433],0.0010583326651951185
[0.74432038 0.91564892 0.01431344],[0.74777829 0.92269389 0.00353433],0.0008333333333333334
[0.76883565 0.98016228 0.00753647],[0.75584408 0.97781697 0.00940634],0.0023412607633166464
[0.75837949 0.99063583 0.01205705],[0.75584408 0.97781697 0.00940634],0.0012171478171303508
[ 0.75678727  0.99079721 -0.00263809],[0.74882932 0.98319486 0.00488873],0.0008333333333333334
[0.76091288 0.98440744 0.0103928 ],[0.74882932 0.98319486 0.00488873],0.0015457767518879818
[0.77378214 0.89692119 0.00537562],[0.77738699 0.90963433 0.00715292],0.0010583326651951185
[0.77081437 0.90160625 0.01552719],[0.77738699 0.90963433 0.00715292],0.0008333333333333334
[0.79625029 0.91039974 0.00101674],[0.78313869 0.91271738 0.00171824],0.0008333333333333334
[ 7.79428916e-01  9.00119832e-01 -5.87642907e-04],[0.78313869 0.91271738 0.00171824],0.0008333333333333334
[0.79466714 0.95047775 0.00754743],[0.78482037 0.94182912 0.01000101],0.002380983807003168
[0.79389895 0.93237161 0.0075694 ],[0.78482037 0.94182912 0.01000101],0.0010583326651951185
[0.76491876 0.9026608  0.00140201],[0.75507852 0.91163291 0.00207178],0.0008333333333333334
[0.75951954 0.91002476 0.0145405 ],[0.75507852 0.91163291 0.00207178],0.0008333333333333334
[0.78064634 0.9862891  0.00667195],[0.76883565 0.98016228 0.00753647],0.0020703097050226373
[0.76959669 0.96689092 0.0065023 ],[0.76883565 0.98016228 0.00753647],0.001545776751887982
[0.7607111  1.00334302 0.00876024],[0.75837949 0.99063583 0.01205705],0.0010583326651951185
[0.75795512 0.9991291  0.00178757],[0.75837949 0.99063583 0.01205705],0.0008333333333333334
[0.77308764 0.98852877 0.0068477 ],[0.76091288 0.98440744 0.0103928 ],0.0013440816362628033
[0.76331123 0.97435746 0.00196526],[0.76091288 0.98440744 0.0103928 ],0.0010583326651951185
[0.7733799  0.88380714 0.00300123],[0.77378214 0.89692119 0.00537562],0.0008333333333333334
[0.77514359 0.88855613 0.01566882],[0.77378214 0.89692119 0.00537562],0.0008333333333333334
[0.80492214 0.95885641 0.00910009],[0.79466714 0.95047775 0.00754743],0.0023002141542073115
[0.80793089 0.94979444 0.00637108],[0.79466714 0.95047775 0.00754743],0.0010583326651951185
