node1,node2,radius
[0.04195656 0.35965841 0.00760387],[0.         0.34339043 0.00760387],0.006198516849608249
[0.07451689 0.36677679 0.00708937],[0.04195656 0.35965841 0.00760387],0.005870366386847658
[0.05047142 0.38017593 0.00700733],[0.04195656 0.35965841 0.00760387],0.0041218416917625685
[0.10585155 0.37605534 0.0069745 ],[0.07451689 0.36677679 0.00708937],0.004991675065341579
[0.10005011 0.35806764 0.00047044],[0.07451689 0.36677679 0.00708937],0.0038393130520141274
[0.05481202 0.4011711  0.01162025],[0.05047142 0.38017593 0.00700733],0.0035861942973470172
[0.03778705 0.39336776 0.01188411],[0.05047142 0.38017593 0.00700733],0.002566646395993887
[0.13622952 0.38627575 0.00705501],[0.10585155 0.37605534 0.0069745 ],0.0032944512281035104
[0.11317772 0.39714643 0.00993372],[0.10585155 0.37605534 0.0069745 ],0.004224444114591616
[0.1089905  0.34842194 0.00266307],[0.10005011 0.35806764 0.00047044],0.003808505307152035
[0.09983699 0.34939415 0.01059481],[0.10005011 0.35806764 0.00047044],0.0008333333333333334
[0.0551347  0.42280256 0.0123152 ],[0.05481202 0.4011711  0.01162025],0.002778621047677817
[0.07125277 0.41051668 0.00856151],[0.05481202 0.4011711  0.01162025],0.0026854326921328915
[0.026924   0.40030617 0.00847377],[0.03778705 0.39336776 0.01188411],0.002213662894483708
[0.02485735 0.39027531 0.01290259],[0.03778705 0.39336776 0.01188411],0.0016301661512080317
[0.15825422 0.39425904 0.00556608],[0.13622952 0.38627575 0.00705501],0.0032552774191378303
[0.13857192 0.37350293 0.00403075],[0.13622952 0.38627575 0.00705501],0.0008333333333333334
[0.12052416 0.41811723 0.0096464 ],[0.11317772 0.39714643 0.00993372],0.004171123636773633
[0.10454892 0.41049068 0.00786107],[0.11317772 0.39714643 0.00993372],0.0010936282814384937
[0.12190835 0.34521021 0.00343233],[0.1089905  0.34842194 0.00266307],0.0020703097050226373
[0.10488556 0.33576842 0.00356625],[0.1089905  0.34842194 0.00266307],0.0035704123744222977
[0.05351164 0.44407372 0.0111011 ],[0.0551347  0.42280256 0.0123152 ],0.002727353112840174
[ 0.04768165  0.43227528 -0.00229371],[0.0551347  0.42280256 0.0123152 ],0.0008333333333333334
[0.08188458 0.4172145  0.00410262],[0.07125277 0.41051668 0.00856151],0.0026313090372099756
[0.08278013 0.40510137 0.00461535],[0.07125277 0.41051668 0.00856151],0.0008333333333333334
[0.01634511 0.40825986 0.01008735],[0.026924   0.40030617 0.00847377],0.0019051083471430317
[0.03418629 0.41024206 0.00334396],[0.026924   0.40030617 0.00847377],0.0015457767518879818
[0.01486489 0.38360255 0.00712309],[0.02485735 0.39027531 0.01290259],0.00145158640923186
[0.02029374 0.40068356 0.00592982],[0.02485735 0.39027531 0.01290259],0.0010583326651951185
[0.17886321 0.40455854 0.0033241 ],[0.15825422 0.39425904 0.00556608],0.003215358943712286
[ 0.16735609  0.39690866 -0.00381012],[0.15825422 0.39425904 0.00556608],0.0008333333333333334
[0.12340829 0.43976316 0.00763326],[0.12052416 0.41811723 0.0096464 ],0.0038805458587976376
[0.13440475 0.4262618  0.01132793],[0.12052416 0.41811723 0.0096464 ],0.002073152441455312
[0.10155016 0.4224005  0.00267056],[0.10454892 0.41049068 0.00786107],0.0008333333333333334
[ 0.10634839  0.41542563 -0.00439396],[0.10454892 0.41049068 0.00786107],0.0008333333333333334
[0.13073445 0.33557068 0.00606999],[0.12190835 0.34521021 0.00343233],0.002018074297974861
[0.11803499 0.33878086 0.01445224],[0.12190835 0.34521021 0.00343233],0.0008333333333333334
[0.10107638 0.32301814 0.00440184],[0.10488556 0.33576842 0.00356625],0.003552218897901664
[0.11202721 0.32694237 0.01055734],[0.10488556 0.33576842 0.00356625],0.0008333333333333334
[0.05205769 0.46498426 0.00870927],[0.05351164 0.44407372 0.0111011 ],0.00262893314152887
[0.05084827 0.45519546 0.00424608],[0.05351164 0.44407372 0.0111011 ],0.0010583326651951185
[0.08581052 0.42984117 0.00239033],[0.08188458 0.4172145  0.00410262],0.0015457767518879816
[0.09271047 0.41174069 0.00963575],[0.08188458 0.4172145  0.00410262],0.002341260763316646
[0.01110014 0.42050352 0.01068825],[0.01634511 0.40825986 0.01008735],0.0018435135758920384
[0.00303523 0.40888846 0.0105665 ],[0.01634511 0.40825986 0.01008735],0.0008333333333333334
[0.03490681 0.42334984 0.00101055],[0.03418629 0.41024206 0.00334396],0.0013440816362628033
[0.04703466 0.412714   0.00591041],[0.03418629 0.41024206 0.00334396],0.0010583326651951185
[0.00156358 0.38278889 0.00756009],[0.01486489 0.38360255 0.00712309],0.0008333333333333334
[0.01627102 0.37173299 0.01303192],[0.01486489 0.38360255 0.00712309],0.0013440816362628035
[ 0.01633706  0.41041034 -0.00228677],[0.02029374 0.40068356 0.00592982],0.0008333333333333334
[ 0.01488283  0.40936068 -0.00262632],[0.02029374 0.40068356 0.00592982],0.0008333333333333334
[0.19695647 0.41842778 0.00456302],[0.17886321 0.40455854 0.0033241 ],0.002383658094523588
[0.18501695 0.42574257 0.00786637],[0.17886321 0.40455854 0.0033241 ],0.0025138026789745696
[0.12418091 0.46121792 0.00487584],[0.12340829 0.43976316 0.00763326],0.0036449126928622083
[ 0.11238938  0.45552194 -0.00168421],[0.12340829 0.43976316 0.00763326],0.001832672996339763
[0.1471574 0.430893  0.009731 ],[0.13440475 0.4262618  0.01132793],0.00199107904697902
[ 0.13440714  0.42252234 -0.00147028],[0.13440475 0.4262618  0.01132793],0.0008333333333333334
[0.13474345 0.32321333 0.00306973],[0.13073445 0.33557068 0.00606999],0.001545776751887982
[0.1426532  0.34154289 0.00583799],[0.13073445 0.33557068 0.00606999],0.0016301661512080315
[0.09696916 0.31035475 0.00514159],[0.10107638 0.32301814 0.00440184],0.003276397908457231
[0.08830102 0.32665092 0.00323109],[0.10107638 0.32301814 0.00440184],0.002070309705022637
[0.05075859 0.48575952 0.00785558],[0.05205769 0.46498426 0.00870927],0.002241448935538375
[0.06430013 0.47800683 0.00740437],[0.05205769 0.46498426 0.00870927],0.0017102637440157835
[0.0554685  0.46741896 0.00159706],[0.05084827 0.45519546 0.00424608],0.0008333333333333334
[0.04062155 0.46063478 0.01084955],[0.05084827 0.45519546 0.00424608],0.0008333333333333334
[0.07952717 0.44153178 0.00111488],[0.08581052 0.42984117 0.00239033],0.0008333333333333334
[0.09759442 0.43579316 0.00052187],[0.08581052 0.42984117 0.00239033],0.0014515864092318597
[0.09667461 0.39917811 0.01169605],[0.09271047 0.41174069 0.00963575],0.0023002141542073124
[0.09243222 0.4020563  0.00047535],[0.09271047 0.41174069 0.00963575],0.0008333333333333334
[0.01087895 0.43382394 0.01014509],[0.01110014 0.42050352 0.01068825],0.0017777385704942125
[1.47425166e-04 4.26665889e-01 6.23394297e-03],[0.01110014 0.42050352 0.01068825],0.0008333333333333334
[3.55006837e-02 4.36635863e-01 5.83144955e-05],[0.03490681 0.42334984 0.00101055],0.0012171478171303508
[0.0278121  0.43054175 0.00971224],[0.03490681 0.42334984 0.00101055],0.0008333333333333334
[0.05964595 0.40977519 0.0027329 ],[0.04703466 0.412714   0.00591041],0.0008333333333333334
[0.05049297 0.40499979 0.01622102],[0.04703466 0.412714   0.00591041],0.0008333333333333334
[0.01727881 0.35845744 0.01230963],[0.01627102 0.37173299 0.01303192],0.0010583326651951185
[0.00523653 0.36499201 0.00977969],[0.01627102 0.37173299 0.01303192],0.0010583326651951185
[0.21055605 0.43625536 0.00668265],[0.19695647 0.41842778 0.00456302],0.0023181767260447533
[ 1.94415874e-01  4.30650340e-01 -1.20159068e-04],[0.19695647 0.41842778 0.00456302],0.0008333333333333334
[0.19223619 0.44558072 0.01116812],[0.18501695 0.42574257 0.00786637],0.00245366794896994
[0.17396342 0.43092501 0.01322729],[0.18501695 0.42574257 0.00786637],0.0008333333333333334
[0.12352037 0.48257406 0.00465287],[0.12418091 0.46121792 0.00487584],0.0034427395485485805
[0.13453041 0.46829669 0.00940978],[0.12418091 0.46121792 0.00487584],0.0016640828055135806
[ 1.01625995e-01  4.63254530e-01 -2.23233940e-04],[ 0.11238938  0.45552194 -0.00168421],0.0012171478171303508
[0.11749592 0.46647144 0.00395578],[ 0.11238938  0.45552194 -0.00168421],0.001545776751887982
[0.15869062 0.43685698 0.00669892],[0.1471574 0.430893  0.009731 ],0.0014877253802780906
[0.14132645 0.44262295 0.01221819],[0.1471574 0.430893  0.009731 ],0.001545776751887982
[0.14058591 0.31123867 0.00256881],[0.13474345 0.32321333 0.00306973],0.0012171478171303508
[0.12421868 0.31502767 0.00311584],[0.13474345 0.32321333 0.00306973],0.0012171478171303508
[0.14943463 0.3529347  0.00725809],[0.1426532  0.34154289 0.00583799],0.0015457767518879818
[0.15190609 0.33194468 0.0056479 ],[0.1426532  0.34154289 0.00583799],0.0008333333333333334
[0.09192243 0.29805967 0.0062089 ],[0.09696916 0.31035475 0.00514159],0.00325494792542635
[0.0926924  0.29795179 0.00751933],[0.09696916 0.31035475 0.00514159],0.0008333333333333334
[0.07566297 0.33075845 0.00214214],[0.08830102 0.32665092 0.00323109],0.0020180742979748604
[0.07898996 0.32262702 0.011885  ],[0.08830102 0.32665092 0.00323109],0.0008333333333333334
[0.04936576 0.50628234 0.00735453],[0.05075859 0.48575952 0.00785558],0.0021691458287386267
[0.06261637 0.49844758 0.01594263],[0.05075859 0.48575952 0.00785558],0.0008333333333333334
[0.07397509 0.4860497  0.00299016],[0.06430013 0.47800683 0.00740437],0.0015973287306058554
[0.07505455 0.47349872 0.00093931],[0.06430013 0.47800683 0.00740437],0.0008333333333333334
[ 6.53752383e-02  4.76155178e-01 -2.23035123e-04],[0.0554685  0.46741896 0.00159706],0.0008333333333333334
[7.54497399e-02 4.54189095e-01 1.42829724e-04],[0.07952717 0.44153178 0.00111488],0.0008333333333333334
[0.11063739 0.43606777 0.00327565],[0.09759442 0.43579316 0.00052187],0.0013440816362628033
[0.09317097 0.44645552 0.00719456],[0.09759442 0.43579316 0.00052187],0.0008333333333333334
[0.10019028 0.38770798 0.00587764],[0.09667461 0.39917811 0.01169605],0.0015457767518879818
[0.08581559 0.39173687 0.00957772],[0.09667461 0.39917811 0.01169605],0.002018074297974861
[0.01098174 0.44714502 0.00958275],[0.01087895 0.43382394 0.01014509],0.0017069826004149937
[0.01580296 0.44482637 0.00444609],[0.01087895 0.43382394 0.01014509],0.0008333333333333334
[0.03813602 0.44964494 0.00132195],[3.55006837e-02 4.36635863e-01 5.83144955e-05],0.0010583326651951185
[0.03254336 0.44181231 0.01198461],[3.55006837e-02 4.36635863e-01 5.83144955e-05],0.0008333333333333334
[0.01079232 0.34695851 0.01044469],[0.01727881 0.35845744 0.01230963],0.0008333333333333334
[0.0268751  0.35401135 0.00419044],[0.01727881 0.35845744 0.01230963],0.0008333333333333334
[-0.00091857  0.35585063  0.00227451],[0.00523653 0.36499201 0.00977969],0.0008333333333333334
[-2.08929293e-03  3.70539137e-01  1.18458251e-04],[0.00523653 0.36499201 0.00977969],0.0008333333333333334
[0.22377854 0.45411572 0.00670243],[0.21055605 0.43625536 0.00668265],0.0020120858594480542
[0.22173152 0.44177094 0.00194292],[0.21055605 0.43625536 0.00668265],0.0014515864092318597
[1.92031706e-01 4.43760976e-01 3.32325686e-04],[ 1.94415874e-01  4.30650340e-01 -1.20159068e-04],0.0008333333333333334
[0.19239665 0.46666905 0.01175288],[0.19223619 0.44558072 0.01116812],0.0022836366916231298
[0.1857567  0.45714676 0.00974662],[0.19223619 0.44558072 0.01116812],0.0012171478171303504
[0.12435401 0.50365257 0.00435778],[0.12352037 0.48257406 0.00465287],0.003135281114747467
[0.11246338 0.49526009 0.0071103 ],[0.12352037 0.48257406 0.00465287],0.0018745924538125743
[0.14277427 0.47851243 0.00707414],[0.13453041 0.46829669 0.00940978],0.0015457767518879818
[0.14176403 0.45724485 0.01122896],[0.13453041 0.46829669 0.00940978],0.0008333333333333334
[0.08977032 0.46344409 0.0058747 ],[ 1.01625995e-01  4.63254530e-01 -2.23233940e-04],0.0010583326651951185
[0.10460011 0.47193586 0.00944977],[ 1.01625995e-01  4.63254530e-01 -2.23233940e-04],0.0008333333333333334
[0.12120298 0.47892583 0.00694306],[0.11749592 0.46647144 0.00395578],0.0012171478171303508
[0.12835568 0.47402245 0.0056368 ],[0.11749592 0.46647144 0.00395578],0.0012171478171303508
[0.16802129 0.44459045 0.00113925],[0.15869062 0.43685698 0.00669892],0.0008333333333333334
[0.15992374 0.44854396 0.01299748],[0.15869062 0.43685698 0.00669892],0.0013440816362628033
[0.12901913 0.44772014 0.01278926],[0.14132645 0.44262295 0.01221819],0.0013440816362628035
[0.14915484 0.45236896 0.00758038],[0.14132645 0.44262295 0.01221819],0.0010583326651951185
