node1,node2,radius
[0.96074062 0.64837174 0.00926262],[1.         0.67036494 0.00926262],0.007047358976764952
[0.92886214 0.63864029 0.00884699],[0.96074062 0.64837174 0.00926262],0.004409355834716845
[0.95236769 0.63397299 0.00867284],[0.96074062 0.64837174 0.00926262],0.0067602918101059275
[0.89711505 0.63122142 0.00660022],[0.92886214 0.63864029 0.00884699],0.0034329953341450453
[0.9136514  0.64554385 0.01094271],[0.92886214 0.63864029 0.00884699],0.003284217871492519
[0.9444539  0.6195049  0.00808055],[0.95236769 0.63397299 0.00867284],0.006654094658798043
[0.96538899 0.63427056 0.00582066],[0.95236769 0.63397299 0.00867284],0.0019051083471430326
[0.87879441 0.62490264 0.00652699],[0.89711505 0.63122142 0.00660022],0.0033962787892503807
[ 0.89770901  0.62730766 -0.00613192],[0.89711505 0.63122142 0.00660022],0.0008333333333333334
[0.90463918 0.65511522 0.00871865],[0.9136514  0.64554385 0.01094271],0.0032112231023991703
[0.90139029 0.64041809 0.01202415],[0.9136514  0.64554385 0.01094271],0.0010583326651951185
[0.93844781 0.60440915 0.00633797],[0.9444539  0.6195049  0.00808055],0.0066168652404592345
[0.94844815 0.60389968 0.00654579],[0.9444539  0.6195049  0.00808055],0.001254759262149869
[0.97668753 0.62720985 0.00633741],[0.96538899 0.63427056 0.00582066],0.0017777385704942131
[0.97868534 0.63501257 0.00647967],[0.96538899 0.63427056 0.00582066],0.0010583326651951185
[0.86102426 0.61776606 0.00706099],[0.87879441 0.62490264 0.00652699],0.003152434142295833
[0.88133833 0.61190109 0.00803231],[0.87879441 0.62490264 0.00652699],0.0017069826004149943
[0.89342413 0.66224289 0.00762469],[0.90463918 0.65511522 0.00871865],0.0019051083471430322
[0.91242072 0.66556008 0.00586729],[0.90463918 0.65511522 0.00871865],0.0029475536719043576
[0.89582207 0.62836924 0.01076   ],[0.90139029 0.64041809 0.01202415],0.0008333333333333334
[8.94404778e-01 6.39068420e-01 7.47674695e-04],[0.90139029 0.64041809 0.01202415],0.0008333333333333334
[0.93441317 0.58884883 0.00448588],[0.93844781 0.60440915 0.00633797],0.006592572752948822
