node1,node2,radius
[0.9555531  0.9925823  0.00199112],[1.         0.99961599 0.00199112],0.0020041645331502025
[0.93124743 0.99572518 0.00228698],[0.9555531  0.9925823  0.00199112],0.0017968507289603925
[0.95433619 0.9795726  0.00464528],[0.9555531  0.9925823  0.00199112],0.0015457767518879818
[0.90750447 0.99217033 0.0049476 ],[0.93124743 0.99572518 0.00228698],0.0015973287306058552
[9.18127113e-01 9.97658053e-01 9.08943750e-04],[0.93124743 0.99572518 0.00228698],0.0010583326651951185
[0.95613316 0.96636792 0.00421512],[0.95433619 0.9795726  0.00464528],0.0010583326651951185
[0.94108793 0.97807423 0.00451717],[0.95433619 0.9795726  0.00464528],0.0013440816362628033
[0.89530368 0.99753059 0.00537906],[0.90750447 0.99217033 0.0049476 ],0.0012171478171303508
[0.90266316 0.98058642 0.00943677],[0.90750447 0.99217033 0.0049476 ],0.0012171478171303504
[9.07556340e-01 1.00576099e+00 2.93310212e-04],[9.18127113e-01 9.97658053e-01 9.08943750e-04],0.0008333333333333334
[0.91134728 0.996453   0.01232645],[9.18127113e-01 9.97658053e-01 9.08943750e-04],0.0008333333333333334
[9.54956910e-01 9.53640482e-01 4.19531976e-04],[0.95613316 0.96636792 0.00421512],0.0008333333333333334
[0.96207831 0.95721667 0.01187591],[0.95613316 0.96636792 0.00421512],0.0008333333333333334
[0.92962598 0.97184426 0.00176238],[0.94108793 0.97807423 0.00451717],0.0012171478171303508
[9.31017759e-01 9.85862706e-01 5.53701335e-04],[0.94108793 0.97807423 0.00451717],0.0008333333333333334
[0.88442355 1.00410765 0.00939687],[0.89530368 0.99753059 0.00537906],0.0008333333333333334
[8.85025530e-01 9.90458696e-01 6.75271254e-04],[0.89530368 0.99753059 0.00537906],0.0010583326651951185
[0.8973725  0.96838081 0.01033671],[0.90266316 0.98058642 0.00943677],0.001058332665195118
[0.90265498 0.96806402 0.00485778],[0.90266316 0.98058642 0.00943677],0.0008333333333333334
[0.89547237 1.01035899 0.00355119],[9.07556340e-01 1.00576099e+00 2.93310212e-04],0.0008333333333333334
[0.91938167 0.96558282 0.00756119],[0.92962598 0.97184426 0.00176238],0.0010583326651951185
[0.92250746 0.98306086 0.00289918],[0.92962598 0.97184426 0.00176238],0.0008333333333333334
[0.91957385 0.99264563 0.00145181],[9.31017759e-01 9.85862706e-01 5.53701335e-04],0.0008333333333333334
[8.71890243e-01 9.88184108e-01 9.36556905e-04],[8.85025530e-01 9.90458696e-01 6.75271254e-04],0.0008333333333333334
[0.88269475 0.97734027 0.00117733],[8.85025530e-01 9.90458696e-01 6.75271254e-04],0.0008333333333333334
[0.88519367 0.96301122 0.00954849],[0.8973725  0.96838081 0.01033671],0.0010583326651951183
[0.90700557 0.96543642 0.01251988],[0.91938167 0.96558282 0.00756119],0.0008333333333333334
