node1,node2,radius
[0.0355119  0.96360796 0.01061905],[0.06198113 1.         0.01061905],0.0018719184414173503
[0.02613782 0.95259804 0.00964534],[0.0355119  0.96360796 0.01061905],0.001732768422533303
[0.03946063 0.95219377 0.00497091],[0.0355119  0.96360796 0.01061905],0.0013440816362628033
[0.01634874 0.94208418 0.00938708],[0.02613782 0.95259804 0.00964534],0.001519629769284758
[0.01496274 0.95887965 0.00597974],[0.02613782 0.95259804 0.00964534],0.0010583326651951185
[0.03858276 0.93890347 0.00435851],[0.03946063 0.95219377 0.00497091],0.0012171478171303508
[0.03352807 0.94532761 0.01474017],[0.03946063 0.95219377 0.00497091],0.0008333333333333334
[0.00641835 0.93187143 0.00947438],[0.01634874 0.94208418 0.00938708],0.0013812465444843806
[0.01910439 0.92918208 0.01131579],[0.01634874 0.94208418 0.00938708],0.0008333333333333334
[0.00251118 0.96047339 0.0104738 ],[0.01496274 0.95887965 0.00597974],0.0008333333333333334
[5.22101503e-03 9.51631480e-01 4.71517157e-04],[0.01496274 0.95887965 0.00597974],0.0008333333333333334
[0.03160218 0.927556   0.00489165],[0.03858276 0.93890347 0.00435851],0.0010583326651951185
[0.04024468 0.92568119 0.00392586],[0.03858276 0.93890347 0.00435851],0.0008333333333333334
[0.0050521  0.91895573 0.00645848],[0.00641835 0.93187143 0.00947438],0.0012171478171303508
[-1.00212602e-03  9.26274244e-01 -8.52070426e-05],[0.00641835 0.93187143 0.00947438],0.0008333333333333334
[-1.56247755e-04  9.39432853e-01  7.08857248e-04],[5.22101503e-03 9.51631480e-01 4.71517157e-04],0.0008333333333333334
[0.03028677 0.91478217 0.00848008],[0.03160218 0.927556   0.00489165],0.0008333333333333334
[ 0.01999791  0.92892271 -0.00153102],[0.03160218 0.927556   0.00489165],0.0008333333333333334
[5.42286709e-04 9.07229950e-01 1.99243630e-03],[0.0050521  0.91895573 0.00645848],0.0008333333333333334
[0.01360167 0.90880471 0.00773898],[0.0050521  0.91895573 0.00645848],0.0010583326651951185
[0.0122598  0.89664402 0.01303942],[0.01360167 0.90880471 0.00773898],0.0008333333333333334
[2.48195087e-02 9.07972713e-01 5.80382733e-04],[0.01360167 0.90880471 0.00773898],0.0008333333333333334
[0.35800295 0.01699229 0.01230597],[0.39967143 0.         0.01230597],0.0027881374154598926
[0.34541419 0.01607146 0.00801028],[0.35800295 0.01699229 0.01230597],0.0027825581593463413
[0.3587891  0.02835641 0.00537658],[0.35800295 0.01699229 0.01230597],0.0008333333333333334
[0.33225938 0.01401306 0.00730904],[0.34541419 0.01607146 0.00801028],0.0027531887599655035
[0.34353957 0.00293486 0.00931159],[0.34541419 0.01607146 0.00801028],0.0008333333333333334
[0.35522653 0.04033232 0.00072218],[0.3587891  0.02835641 0.00537658],0.0008333333333333334
[0.3190252  0.01393081 0.00892999],[0.33225938 0.01401306 0.00730904],0.0027232117168576493
[0.32722425 0.00277417 0.00219899],[0.33225938 0.01401306 0.00730904],0.0008333333333333334
[0.30774723 0.00699816 0.01051848],[0.3190252  0.01393081 0.00892999],0.001843513575892039
[0.31260093 0.02506275 0.00538225],[0.3190252  0.01393081 0.00892999],0.0023809838070031684
[0.29474227 0.00801733 0.00775982],[0.30774723 0.00699816 0.01051848],0.001706982600414994
[0.30118612 0.01855565 0.00944416],[0.30774723 0.00699816 0.01051848],0.0010583326651951185
[0.30859352 0.03762919 0.00733237],[0.31260093 0.02506275 0.00538225],0.0021678665339266733
[0.32091279 0.03432166 0.00059025],[0.31260093 0.02506275 0.00538225],0.00145158640923186
[0.28199762 0.01150044 0.00596546],[0.29474227 0.00801733 0.00775982],0.0016301661512080315
[ 2.85853881e-01 -1.16649343e-04  1.34705640e-02],[0.29474227 0.00801733 0.00775982],0.0008333333333333334
[0.29681265 0.02765845 0.00073845],[0.30118612 0.01855565 0.00944416],0.0008333333333333334
[0.29044452 0.02557904 0.01305911],[0.30118612 0.01855565 0.00944416],0.0008333333333333334
[0.30516766 0.05036334 0.00930284],[0.30859352 0.03762919 0.00733237],0.00212015427524717
[ 0.30146641  0.04568233 -0.00054982],[0.30859352 0.03762919 0.00733237],0.0008333333333333334
[0.32951793 0.04450337 0.00083947],[0.32091279 0.03432166 0.00059025],0.0012171478171303508
[0.3330318  0.02990666 0.00396886],[0.32091279 0.03432166 0.00059025],0.0010583326651951185
[0.26908874 0.01470585 0.00689484],[0.28199762 0.01150044 0.00596546],0.0012171478171303508
[0.28158707 0.02482294 0.00561898],[0.28199762 0.01150044 0.00596546],0.0013440816362628033
[ 2.93012649e-01  4.04152198e-02 -3.78764021e-05],[0.29681265 0.02765845 0.00073845],0.0008333333333333334
[0.29534602 0.05812514 0.00471289],[0.30516766 0.05036334 0.00930284],0.0012171478171303508
[0.31300591 0.0610145  0.0110035 ],[0.30516766 0.05036334 0.00930284],0.001963135235546713
[0.34080023 0.05159908 0.00046741],[0.32951793 0.04450337 0.00083947],0.0010583326651951185
[0.32670691 0.04972168 0.01278289],[0.32951793 0.04450337 0.00083947],0.0008333333333333334
[0.34419321 0.0320455  0.01094211],[0.3330318  0.02990666 0.00396886],0.0008333333333333334
[0.33090655 0.01873364 0.01092766],[0.3330318  0.02990666 0.00396886],0.0008333333333333334
[0.25624549 0.01206037 0.00930943],[0.26908874 0.01470585 0.00689484],0.0010583326651951185
[0.26629989 0.02384766 0.01619147],[0.26908874 0.01470585 0.00689484],0.0008333333333333334
[0.27888019 0.03597203 0.01241226],[0.28158707 0.02482294 0.00561898],0.0008333333333333334
[0.27957148 0.03687628 0.0002868 ],[0.28158707 0.02482294 0.00561898],0.0012171478171303508
[0.28361606 0.06383626 0.00196171],[0.29534602 0.05812514 0.00471289],0.0010583326651951185
[ 0.3002855   0.06791466 -0.00287293],[0.29534602 0.05812514 0.00471289],0.0008333333333333334
[0.32522463 0.06634758 0.01080626],[0.31300591 0.0610145  0.0110035 ],0.0018435135758920393
[0.30954794 0.07297852 0.00624088],[0.31300591 0.0610145  0.0110035 ],0.0010583326651951185
[3.52185726e-01 5.85367833e-02 3.38686156e-04],[0.34080023 0.05159908 0.00046741],0.0008333333333333334
[0.33859734 0.06202472 0.00848184],[0.34080023 0.05159908 0.00046741],0.0008333333333333334
[0.33135516 0.005461   0.01211658],[0.33090655 0.01873364 0.01092766],0.0008333333333333334
[0.24718113 0.00241711 0.00768992],[0.25624549 0.01206037 0.00930943],0.0008333333333333334
[0.24916872 0.02176185 0.01510412],[0.25624549 0.01206037 0.00930943],0.0008333333333333334
[0.28098472 0.04985393 0.00299994],[0.27957148 0.03687628 0.0002868 ],0.0010583326651951185
[0.28921922 0.04468166 0.00516276],[0.27957148 0.03687628 0.0002868 ],0.0008333333333333334
[0.27092501 0.06678967 0.00478878],[0.28361606 0.06383626 0.00196171],0.0008333333333333334
