node1,node2,radius
[0.96212509 0.27044185 0.01133123],[1.         0.24614183 0.01133123],0.012032842509610658
[0.93459127 0.28922311 0.01081713],[0.96212509 0.27044185 0.01133123],0.012032773308339297
[ 0.94049761  0.27915892 -0.00461391],[0.96212509 0.27044185 0.01133123],0.0008333333333333334
[0.90746257 0.30742988 0.01010137],[0.93459127 0.28922311 0.01081713],0.011074984370897266
[0.90726054 0.28336714 0.00414816],[0.93459127 0.28922311 0.01081713],0.006281968111162885
[0.8769397  0.31714662 0.00899486],[0.90746257 0.30742988 0.01010137],0.00670175377047224
[0.90332096 0.33637479 0.0100413 ],[0.90746257 0.30742988 0.01010137],0.00974807132923337
[0.89425654 0.28373156 0.00122568],[0.90726054 0.28336714 0.00414816],0.00625562843066871
[0.90579132 0.27011503 0.00412301],[0.90726054 0.28336714 0.00414816],0.0010583326651951185
[0.84686268 0.32626364 0.00792815],[0.8769397  0.31714662 0.00899486],0.006644781038447496
[ 8.63248199e-01  3.39232384e-01 -8.21798695e-04],[0.8769397  0.31714662 0.00899486],0.0014877253802780906
[0.89760277 0.36447521 0.00819604],[0.90332096 0.33637479 0.0100413 ],0.00941682068628656
[0.92175845 0.34369296 0.00961813],[0.90332096 0.33637479 0.0100413 ],0.0036969587252683044
[8.80947934e-01 2.84322893e-01 6.69647711e-04],[0.89425654 0.28373156 0.00122568],0.004301568884966049
[0.89390955 0.27048571 0.0027106 ],[0.89425654 0.28373156 0.00122568],0.005170430577869936
[9.06797291e-01 2.57471368e-01 1.16025985e-05],[0.90579132 0.27011503 0.00412301],0.0008333333333333334
[0.89649012 0.26537972 0.01242014],[0.90579132 0.27011503 0.00412301],0.0008333333333333334
[0.81790281 0.33692422 0.00740243],[0.84686268 0.32626364 0.00792815],0.00661853503966447
[0.83551711 0.31517785 0.00850779],[0.84686268 0.32626364 0.00792815],0.0010936282814384937
[0.85567471 0.34973474 0.00235949],[ 8.63248199e-01  3.39232384e-01 -8.21798695e-04],0.0013440816362628033
[0.85768485 0.34960452 0.00544284],[ 8.63248199e-01  3.39232384e-01 -8.21798695e-04],0.0008333333333333334
[0.88463703 0.3895722  0.00807995],[0.89760277 0.36447521 0.00819604],0.008572080408438962
[0.90995056 0.38912208 0.01161201],[0.89760277 0.36447521 0.00819604],0.005135843910986167
[0.93983649 0.34654561 0.01031583],[0.92175845 0.34369296 0.00961813],0.0025905146247517225
[0.93475318 0.337348   0.01057651],[0.92175845 0.34369296 0.00961813],0.0030183700571764583
[0.86764796 0.28502053 0.00130357],[8.80947934e-01 2.84322893e-01 6.69647711e-04],0.004275779179930045
[8.70426985e-01 2.92489262e-01 3.89029782e-05],[8.80947934e-01 2.84322893e-01 6.69647711e-04],0.0008333333333333334
[0.89274429 0.2573586  0.00473516],[0.89390955 0.27048571 0.0027106 ],0.005097790504768193
[0.88548626 0.27626505 0.01127945],[0.89390955 0.27048571 0.0027106 ],0.0017069826004149943
[0.79001253 0.34875329 0.00671032],[0.81790281 0.33692422 0.00740243],0.005163141886730877
[0.80378771 0.32967216 0.00963686],[0.81790281 0.33692422 0.00740243],0.004918778818853977
[0.82481352 0.30842748 0.0127082 ],[0.83551711 0.31517785 0.00850779],0.0008333333333333334
[ 0.83438436  0.30913511 -0.00332352],[0.83551711 0.31517785 0.00850779],0.0008333333333333334
[0.85516913 0.36300422 0.00115824],[0.85567471 0.34973474 0.00235949],0.0012171478171303508
[0.85562263 0.35719779 0.01340838],[0.85567471 0.34973474 0.00235949],0.0008333333333333334
[0.84649471 0.35111829 0.01253277],[0.85768485 0.34960452 0.00544284],0.0008333333333333334
[0.86882939 0.41240344 0.00875649],[0.88463703 0.3895722  0.00807995],0.00830820280347579
[0.86566255 0.38599006 0.00972786],[0.88463703 0.3895722  0.00807995],0.0031304573828933764
[0.91604981 0.4157533  0.01191384],[0.90995056 0.38912208 0.01161201],0.004859019376908869
[0.93042517 0.39451871 0.00590378],[0.90995056 0.38912208 0.01161201],0.0023196970280703645
[0.95661845 0.3471432  0.00762506],[0.93983649 0.34654561 0.01031583],0.0024834803384244193
[0.94342556 0.35935164 0.01126551],[0.93983649 0.34654561 0.01031583],0.0010583326651951185
[0.94318336 0.32702071 0.01081509],[0.93475318 0.337348   0.01057651],0.0029733992922691965
[9.43083091e-01 3.35227915e-01 3.83595336e-04],[0.93475318 0.337348   0.01057651],0.0008333333333333334
[0.85515612 0.28965667 0.00179133],[0.86764796 0.28502053 0.00130357],0.002376789687570703
[0.86345088 0.27250625 0.00318904],[0.86764796 0.28502053 0.00130357],0.0038715706193426687
[0.89157417 0.24424632 0.00685096],[0.89274429 0.2573586  0.00473516],0.00508857122488824
[0.88128838 0.2533405  0.01024829],[0.89274429 0.2573586  0.00473516],0.0008333333333333334
[0.8728592 0.2804805 0.0105277],[0.88548626 0.27626505 0.01127945],0.0016301661512080317
[0.87326087 0.27097997 0.01190032],[0.88548626 0.27626505 0.01127945],0.0008333333333333334
[0.7650361  0.36480939 0.00467306],[0.79001253 0.34875329 0.00671032],0.004267626970614248
