node1,node2,radius
[0.04499019 0.68150943 0.00302146],[0.         0.68057006 0.00302146],0.011005103357119753
[0.07829867 0.68023682 0.00321428],[0.04499019 0.68150943 0.00302146],0.010411828416632954
[0.05684029 0.66011643 0.0046478 ],[0.04499019 0.68150943 0.00302146],0.007348652732421599
[0.11024354 0.68698211 0.00180309],[0.07829867 0.68023682 0.00321428],0.009832233783973871
[0.08989664 0.702148   0.00525974],[0.07829867 0.68023682 0.00321428],0.004759923790284127
[0.06794911 0.63872947 0.00627151],[0.05684029 0.66011643 0.0046478 ],0.0072829095746825825
[0.05101513 0.63731773 0.00101737],[0.05684029 0.66011643 0.0046478 ],0.0016640828055135804
[0.14168161 0.69315521 0.00271157],[0.11024354 0.68698211 0.00180309],0.008148227099990139
[0.12821246 0.66596139 0.00442082],[0.11024354 0.68698211 0.00180309],0.006732014480528928
[0.09448999 0.71852275 0.00526755],[0.08989664 0.702148   0.00525974],0.004557625435640366
[0.10237521 0.70340559 0.00978538],[0.08989664 0.702148   0.00525974],0.001965546998271625
[0.07759881 0.61696514 0.00657238],[0.06794911 0.63872947 0.00627151],0.007195008043929911
[0.0832126  0.63481519 0.00919138],[0.06794911 0.63872947 0.00627151],0.0018529239328881866
[0.04506059 0.62640195 0.00583058],[0.05101513 0.63731773 0.00101737],0.0015457767518879816
[0.04877618 0.63183943 0.0129653 ],[0.05101513 0.63731773 0.00101737],0.0008333333333333334
[0.17179164 0.70177722 0.00552796],[0.14168161 0.69315521 0.00271157],0.007925113335030431
[0.16035457 0.68249884 0.00833203],[0.14168161 0.69315521 0.00271157],0.0028450942134141985
[0.14677164 0.64594615 0.0056293 ],[0.12821246 0.66596139 0.00442082],0.0066456059033273935
[ 0.12998191  0.65125451 -0.00128261],[0.12821246 0.66596139 0.00442082],0.0017541820040588426
[0.09797271 0.73499352 0.00531377],[0.09448999 0.71852275 0.00526755],0.0034871575223195603
[0.08150658 0.72155502 0.00514851],[0.09448999 0.71852275 0.00526755],0.0034584766970310364
[0.11501755 0.69970627 0.01185031],[0.10237521 0.70340559 0.00978538],0.0016301661512080315
[0.10635169 0.7161302  0.01000817],[0.10237521 0.70340559 0.00978538],0.0013440816362628033
[0.08955638 0.59678194 0.00574036],[0.07759881 0.61696514 0.00657238],0.0037234595897753693
[0.06694378 0.59794418 0.00893685],[0.07759881 0.61696514 0.00657238],0.006635824341129369
[0.09906321 0.63483574 0.01003408],[0.0832126  0.63481519 0.00919138],0.001254759262149869
[0.08739754 0.62296281 0.00474332],[0.0832126  0.63481519 0.00919138],0.0015457767518879818
[0.03689411 0.61708647 0.01076092],[0.04506059 0.62640195 0.00583058],0.0008333333333333334
[0.0327853  0.62759004 0.00076269],[0.04506059 0.62640195 0.00583058],0.0014515864092318597
[0.20179132 0.70842608 0.00842803],[0.17179164 0.70177722 0.00552796],0.0071541299752405285
[0.1738951  0.72385792 0.00161878],[0.17179164 0.70177722 0.00552796],0.004451287055520643
[0.168836   0.67255756 0.0056836 ],[0.16035457 0.68249884 0.00833203],0.0027531887599655035
[0.16802823 0.69198021 0.00294722],[0.16035457 0.68249884 0.00833203],0.0010583326651951185
[0.16540726 0.62658076 0.00619715],[0.14677164 0.64594615 0.0056293 ],0.006488142799701399
[0.15952375 0.65072716 0.00145245],[0.14677164 0.64594615 0.0056293 ],0.0021949520651583744
[0.13055526 0.6381108  0.00088353],[ 0.12998191  0.65125451 -0.00128261],0.0010583326651951185
[0.14080678 0.64740866 0.00548566],[ 0.12998191  0.65125451 -0.00128261],0.0015457767518879816
[0.10193956 0.75113993 0.0064693 ],[0.09797271 0.73499352 0.00531377],0.003335777017646379
[0.09023179 0.74287907 0.01277527],[0.09797271 0.73499352 0.00531377],0.00145158640923186
[0.06843052 0.72361231 0.0067491 ],[0.08150658 0.72155502 0.00514851],0.003399831384697384
[0.06897851 0.72508101 0.00225154],[0.08150658 0.72155502 0.00514851],0.0012171478171303508
[0.12707717 0.69539935 0.0081363 ],[0.11501755 0.69970627 0.01185031],0.0015457767518879818
[0.1268021  0.70468111 0.00808823],[0.11501755 0.69970627 0.01185031],0.0008333333333333334
[0.11326775 0.72658436 0.00546322],[0.10635169 0.7161302  0.01000817],0.0008333333333333334
[0.09623748 0.72454369 0.00784167],[0.10635169 0.7161302  0.01000817],0.0012171478171303508
[0.10443862 0.57909322 0.00695057],[0.08955638 0.59678194 0.00574036],0.0031355085701331234
[0.11109211 0.59289238 0.00187894],[0.08955638 0.59678194 0.00574036],0.0024801958453491623
[0.05369914 0.58084908 0.00985562],[0.06694378 0.59794418 0.00893685],0.006622693975009537
[0.07101556 0.58834263 0.00062971],[0.06694378 0.59794418 0.00893685],0.0008333333333333334
[0.11211086 0.63756669 0.00975369],[0.09906321 0.63483574 0.01003408],0.0010583326651951185
[0.10916488 0.62704174 0.01390547],[0.09906321 0.63483574 0.01003408],0.0008333333333333334
[0.08978259 0.6100677  0.00715278],[0.08739754 0.62296281 0.00474332],0.0013440816362628033
[0.09914254 0.61725724 0.00204533],[0.08739754 0.62296281 0.00474332],0.0010583326651951185
[0.01965257 0.62848711 0.00288508],[0.0327853  0.62759004 0.00076269],0.0013440816362628033
[0.0217716  0.62007525 0.00069735],[0.0327853  0.62759004 0.00076269],0.0008333333333333334
[0.23142042 0.71407674 0.01133663],[0.20179132 0.70842608 0.00842803],0.006928874979602904
[0.2152644  0.69493973 0.00653366],[0.20179132 0.70842608 0.00842803],0.0026352881292659603
[ 1.75674163e-01  7.45949017e-01 -7.79475669e-06],[0.1738951  0.72385792 0.00161878],0.004166410234703019
[0.16545894 0.73386064 0.004179  ],[0.1738951  0.72385792 0.00161878],0.0021438092209649182
[0.18082651 0.66938535 0.0105767 ],[0.168836   0.67255756 0.0056836 ],0.0015457767518879816
[0.17908886 0.68105621 0.00502818],[0.168836   0.67255756 0.0056836 ],0.0025629527404050015
[1.80117339e-01 6.96936255e-01 2.88487711e-04],[0.16802823 0.69198021 0.00294722],0.0008333333333333334
[1.79457657e-01 6.85575795e-01 4.71466859e-04],[0.16802823 0.69198021 0.00294722],0.0008333333333333334
[0.18386661 0.60767635 0.00751782],[0.16540726 0.62658076 0.00619715],0.006416186313150742
[ 1.67650464e-01  6.12992292e-01 -4.45248402e-04],[0.16540726 0.62658076 0.00619715],0.0015973287306058554
[0.17203461 0.6526763  0.00563059],[0.15952375 0.65072716 0.00145245],0.0008333333333333334
[0.16013929 0.6633961  0.00556302],[0.15952375 0.65072716 0.00145245],0.00212015427524717
[1.34834639e-01 6.25485990e-01 6.02935616e-04],[0.13055526 0.6381108  0.00088353],0.0008333333333333334
[0.14264624 0.63718135 0.00642628],[0.13055526 0.6381108  0.00088353],0.0008333333333333334
[0.14408624 0.63596408 0.01148936],[0.14080678 0.64740866 0.00548566],0.0008333333333333334
[0.15076831 0.63893408 0.00289198],[0.14080678 0.64740866 0.00548566],0.0014515864092318597
[0.10183182 0.76760637 0.00754136],[0.10193956 0.75113993 0.0064693 ],0.003080793069588391
[0.11097069 0.76072182 0.00437077],[0.10193956 0.75113993 0.0064693 ],0.0017157744882561226
[0.0777984  0.74765357 0.01214864],[0.09023179 0.74287907 0.01277527],0.0012171478171303508
[0.09217342 0.75541436 0.00866741],[0.09023179 0.74287907 0.01277527],0.0010583326651951185
[0.0554347  0.72609632 0.00839718],[0.06843052 0.72361231 0.0067491 ],0.0018435135758920393
[0.06158729 0.71297993 0.01097999],[0.06843052 0.72361231 0.0067491 ],0.0031889300166532872
[0.05706664 0.71909426 0.00246114],[0.06897851 0.72508101 0.00225154],0.0010583326651951185
[0.06929914 0.73762461 0.00676077],[0.06897851 0.72508101 0.00225154],0.0008333333333333334
[1.36357950e-01 7.00601838e-01 1.00196330e-04],[0.12707717 0.69539935 0.0081363 ],0.0008333333333333334
[0.1324992  0.68383878 0.0119746 ],[0.12707717 0.69539935 0.0081363 ],0.00145158640923186
[0.08482346 0.72941062 0.0127213 ],[0.09623748 0.72454369 0.00784167],0.0010583326651951185
[0.09535594 0.73736156 0.01140578],[0.09623748 0.72454369 0.00784167],0.0008333333333333334
[0.11956681 0.56209338 0.00879459],[0.10443862 0.57909322 0.00695057],0.003056903563269954
[0.11713558 0.58290764 0.00837018],[0.10443862 0.57909322 0.00695057],0.0010583326651951185
[1.28579540e-01 5.92668445e-01 4.90855137e-04],[0.11109211 0.59289238 0.00187894],0.0022096406243173137
[1.17422367e-01 6.04554093e-01 5.71227419e-04],[0.11109211 0.59289238 0.00187894],0.0014515864092318597
[0.04306602 0.56233428 0.01069806],[0.05369914 0.58084908 0.00985562],0.00637342889621203
[0.04072388 0.58386743 0.00929889],[0.05369914 0.58084908 0.00985562],0.002611428438678043
[0.12247202 0.63042319 0.00534976],[0.11211086 0.63756669 0.00975369],0.0008333333333333334
[0.11922183 0.64818788 0.00595867],[0.11211086 0.63756669 0.00975369],0.0008333333333333334
[0.1184068  0.61752175 0.01258847],[0.10916488 0.62704174 0.01390547],0.0008333333333333334
[0.09558593 0.59847719 0.00402885],[0.08978259 0.6100677  0.00715278],0.0012171478171303508
[0.08183433 0.60048398 0.01192302],[0.08978259 0.6100677  0.00715278],0.0008333333333333334
[0.11244583 0.61742898 0.00292335],[0.09914254 0.61725724 0.00204533],0.0008333333333333334
[0.10587434 0.61946053 0.01334163],[0.09914254 0.61725724 0.00204533],0.0008333333333333334
[0.01098625 0.63808803 0.00612469],[0.01965257 0.62848711 0.00288508],0.0012171478171303508
[0.02036195 0.63030665 0.01607462],[0.01965257 0.62848711 0.00288508],0.0008333333333333334
[0.2610198  0.71714807 0.01180016],[0.23142042 0.71407674 0.01133663],0.00684630087536925
[0.23859253 0.73082092 0.00472059],[0.23142042 0.71407674 0.01133663],0.0017541820040588426
[0.22641721 0.67965047 0.00727801],[0.2152644  0.69493973 0.00653366],0.0025312089666029818
[0.20702196 0.68464396 0.00849246],[0.2152644  0.69493973 0.00653366],0.0010583326651951185
[0.17538884 0.76363433 0.00287591],[ 1.75674163e-01  7.45949017e-01 -7.79475669e-06],0.0038144661460071914
[0.18779992 0.75035957 0.00335238],[ 1.75674163e-01  7.45949017e-01 -7.79475669e-06],0.0022230404002462328
[0.15809942 0.7446303  0.00694116],[0.16545894 0.73386064 0.004179  ],0.0019289346378213814
[0.15359105 0.72921888 0.00810137],[0.16545894 0.73386064 0.004179  ],0.0012171478171303508
[0.19266548 0.67499316 0.01306049],[0.18082651 0.66938535 0.0105767 ],0.0008333333333333334
[0.1860652  0.65765097 0.00702168],[0.18082651 0.66938535 0.0105767 ],0.0014515864092318597
[0.18956304 0.68861934 0.00173147],[0.17908886 0.68105621 0.00502818],0.0025285237241599724
[0.18782278 0.68872309 0.01156387],[0.17908886 0.68105621 0.00502818],0.0008333333333333334
[0.20112459 0.58818903 0.00827604],[0.18386661 0.60767635 0.00751782],0.006236919337986544
[0.18988042 0.61886774 0.01156315],[0.18386661 0.60767635 0.00751782],0.002257726559197561
[1.67434714e-01 5.99669564e-01 4.07011644e-05],[ 1.67650464e-01  6.12992292e-01 -4.45248402e-04],0.0012171478171303508
