node1,node2,radius
[0.275472   0.96581846 0.0127145 ],[0.24620389 1.         0.0127145 ],0.01046000403605837
[0.29524654 0.93981138 0.01196307],[0.275472   0.96581846 0.0127145 ],0.009980114040114906
[0.27326893 0.94722194 0.01268229],[0.275472   0.96581846 0.0127145 ],0.006728996551022801
[0.30873054 0.91083787 0.00951324],[0.29524654 0.93981138 0.01196307],0.009662882254765557
[0.31259767 0.9322219  0.01216052],[0.29524654 0.93981138 0.01196307],0.0036896376039358904
[0.26706306 0.92989552 0.01062858],[0.27326893 0.94722194 0.01268229],0.006434041107633459
[0.26303458 0.95176691 0.00544495],[0.27326893 0.94722194 0.01268229],0.0028113501011549796
[0.31550843 0.8801306  0.00960664],[0.30873054 0.91083787 0.00951324],0.009630088745623511
[3.23790492e-01 8.99962763e-01 6.64101561e-04],[0.30873054 0.91083787 0.00951324],0.0014987377253158807
[0.32573529 0.93407977 0.01084559],[0.31259767 0.9322219  0.01216052],0.0034776110919799404
[0.30838208 0.91960357 0.01127495],[0.31259767 0.9322219  0.01216052],0.0017069826004149943
[0.25914651 0.91364496 0.00768111],[0.26706306 0.92989552 0.01062858],0.006420265249462539
[0.27432358 0.91895586 0.01294944],[0.26706306 0.92989552 0.01062858],0.0008333333333333334
[0.2513733  0.95819694 0.00611354],[0.26303458 0.95176691 0.00544495],0.002753188759965504
[0.25168071 0.94578379 0.00906015],[0.26303458 0.95176691 0.00544495],0.0010583326651951185
[0.31541599 0.84929325 0.0083227 ],[0.31550843 0.8801306  0.00960664],0.009609152733076122
[ 3.18554389e-01  8.66592969e-01 -5.26498601e-04],[0.31550843 0.8801306  0.00960664],0.001254759262149869
[3.36661551e-01 8.96482874e-01 6.00855524e-04],[3.23790492e-01 8.99962763e-01 6.64101561e-04],0.0012171478171303508
[0.32429908 0.88669153 0.00184457],[3.23790492e-01 8.99962763e-01 6.64101561e-04],0.0010583326651951185
[0.33544363 0.94293703 0.00859284],[0.32573529 0.93407977 0.01084559],0.0034195925128845516
[0.33517755 0.92634358 0.00548155],[0.32573529 0.93407977 0.01084559],0.0012171478171303508
[0.29763789 0.91171174 0.01103176],[0.30838208 0.91960357 0.01127495],0.0012171478171303508
[0.3161696  0.90880859 0.01049999],[0.30838208 0.91960357 0.01127495],0.0014515864092318597
[0.24770743 0.89964446 0.00653184],[0.25914651 0.91364496 0.00768111],0.006258257284341294
[0.2640467  0.90131169 0.00639405],[0.25914651 0.91364496 0.00768111],0.0021724981956806814
[0.23828838 0.9601554  0.00776499],[0.2513733  0.95819694 0.00611354],0.0026613005617800354
[0.25669966 0.969441   0.01090714],[0.2513733  0.95819694 0.00611354],0.0012171478171303508
[0.24420648 0.93524655 0.01235866],[0.25168071 0.94578379 0.00906015],0.0008333333333333334
[0.24519165 0.95594233 0.01475874],[0.25168071 0.94578379 0.00906015],0.0008333333333333334
[0.31575101 0.81900461 0.00745117],[0.31541599 0.84929325 0.0083227 ],0.00833394791527116
[0.30015587 0.84362704 0.00474489],[0.31541599 0.84929325 0.0083227 ],0.0060276439367631445
[3.26469635e-01 8.55913471e-01 5.10318245e-04],[ 3.18554389e-01  8.66592969e-01 -5.26498601e-04],0.0010583326651951185
[3.09419527e-01 8.56897243e-01 4.35458531e-05],[ 3.18554389e-01  8.66592969e-01 -5.26498601e-04],0.0008333333333333334
[0.34620408 0.88757959 0.0033302 ],[3.36661551e-01 8.96482874e-01 6.00855524e-04],0.0010583326651951185
[0.34708311 0.90426699 0.00352941],[3.36661551e-01 8.96482874e-01 6.00855524e-04],0.0008333333333333334
[0.33110027 0.87522631 0.00157932],[0.32429908 0.88669153 0.00184457],0.0008333333333333334
[0.32261073 0.88290067 0.01451567],[0.32429908 0.88669153 0.00184457],0.0008333333333333334
[0.34275211 0.95392878 0.00670995],[0.33544363 0.94293703 0.00859284],0.0024568581165520477
[0.33143391 0.95546611 0.00641983],[0.33544363 0.94293703 0.00859284],0.002894529427018633
[0.34780811 0.92216038 0.00461706],[0.33517755 0.92634358 0.00548155],0.0010583326651951185
[0.33381899 0.91698489 0.01488086],[0.33517755 0.92634358 0.00548155],0.0008333333333333334
[0.28721809 0.90339849 0.01134067],[0.29763789 0.91171174 0.01103176],0.0008333333333333334
[0.28685808 0.91785239 0.00614649],[0.29763789 0.91171174 0.01103176],0.0010583326651951185
[0.31454534 0.89558484 0.01102163],[0.3161696  0.90880859 0.01049999],0.0013440816362628033
[3.25060057e-01 9.08666023e-01 5.64335068e-04],[0.3161696  0.90880859 0.01049999],0.0008333333333333334
[0.23496908 0.88704239 0.0062323 ],[0.24770743 0.89964446 0.00653184],0.006158939046079974
[0.2355119  0.90491748 0.00764625],[0.24770743 0.89964446 0.00653184],0.0017706095426614692
[0.26916375 0.88906634 0.00511154],[0.2640467  0.90131169 0.00639405],0.002029122698895608
[0.27735713 0.90188817 0.00692116],[0.2640467  0.90131169 0.00639405],0.0010583326651951185
[0.22663982 0.96544922 0.00401475],[0.23828838 0.9601554  0.00776499],0.0021678665339266733
[0.22974113 0.95064789 0.01155043],[0.23828838 0.9601554  0.00776499],0.0020180742979748604
[0.26114573 0.98151845 0.00742213],[0.25669966 0.969441   0.01090714],0.0010583326651951185
[0.26200989 0.97922125 0.00356371],[0.25669966 0.969441   0.01090714],0.0008333333333333334
[0.31753741 0.79037154 0.00581033],[0.31575101 0.81900461 0.00745117],0.00829847171285312
[0.32798177 0.80769414 0.00694171],[0.31575101 0.81900461 0.00745117],0.0014123615564860838
[0.28567696 0.83572731 0.00423528],[0.30015587 0.84362704 0.00474489],0.00601239741880764
[0.29166401 0.83286899 0.0118373 ],[0.30015587 0.84362704 0.00474489],0.0008333333333333334
[0.33469205 0.84993611 0.00913823],[3.26469635e-01 8.55913471e-01 5.10318245e-04],0.0008333333333333334
[0.32076855 0.84927979 0.0105736 ],[3.26469635e-01 8.55913471e-01 5.10318245e-04],0.0008333333333333334
[0.29712616 0.85545236 0.00499967],[3.09419527e-01 8.56897243e-01 4.35458531e-05],0.0008333333333333334
[0.34621467 0.87652745 0.01078862],[0.34620408 0.88757959 0.0033302 ],0.0008333333333333334
[ 3.58985394e-01  8.89358255e-01 -2.42333641e-05],[0.34620408 0.88757959 0.0033302 ],0.0008333333333333334
[0.34745624 0.96630206 0.00511284],[0.34275211 0.95392878 0.00670995],0.0023002141542073124
[0.35344241 0.94650994 0.00380197],[0.34275211 0.95392878 0.00670995],0.0013440816362628033
[0.32220582 0.96506745 0.00707886],[0.33143391 0.95546611 0.00641983],0.0028673109200128286
[0.32211355 0.95823097 0.01554475],[0.33143391 0.95546611 0.00641983],0.0008333333333333334
[0.35914046 0.91835222 0.01052075],[0.34780811 0.92216038 0.00461706],0.0008333333333333334
[0.35490239 0.93288579 0.00109363],[0.34780811 0.92216038 0.00461706],0.0008333333333333334
[ 0.27717529  0.92320792 -0.00129257],[0.28685808 0.91785239 0.00614649],0.0008333333333333334
[0.28599058 0.92913923 0.01319152],[0.28685808 0.91785239 0.00614649],0.0008333333333333334
[0.30524002 0.88603645 0.01115234],[0.31454534 0.89558484 0.01102163],0.0012171478171303508
[0.30706018 0.88839676 0.00265015],[0.31454534 0.89558484 0.01102163],0.0008333333333333334
[0.21948167 0.87851649 0.00488337],[0.23496908 0.88704239 0.0062323 ],0.006082903027923315
[0.23552223 0.87330497 0.00356127],[0.23496908 0.88704239 0.0062323 ],0.001580788247249158
[0.22231247 0.90679769 0.00777882],[0.2355119  0.90491748 0.00764625],0.0016640828055135804
[ 0.22746573  0.90770091 -0.00261481],[0.2355119  0.90491748 0.00764625],0.0008333333333333334
[0.27269455 0.87622487 0.00447288],[0.26916375 0.88906634 0.00511154],0.0018680287586232752
[0.27881854 0.88512162 0.01341828],[0.26916375 0.88906634 0.00511154],0.0010583326651951185
[0.29004053 0.9001259  0.00320583],[0.27735713 0.90188817 0.00692116],0.0008333333333333334
[0.28332092 0.89149113 0.01276175],[0.27735713 0.90188817 0.00692116],0.0008333333333333334
[0.21722298 0.97485784 0.00325409],[0.22663982 0.96544922 0.00401475],0.0019631352355467127
[0.22428856 0.97808707 0.00755508],[0.22663982 0.96544922 0.00401475],0.0013440816362628033
[0.21823054 0.94395897 0.01081402],[0.22974113 0.95064789 0.01155043],0.0013440816362628033
[0.23294639 0.94122375 0.00267971],[0.22974113 0.95064789 0.01155043],0.001777738570494213
[0.26499647 0.99279826 0.00144588],[0.26114573 0.98151845 0.00742213],0.0008333333333333334
[0.26327667 0.99464959 0.00652199],[0.26114573 0.98151845 0.00742213],0.0008333333333333334
[0.31997051 0.76229821 0.00382268],[0.31753741 0.79037154 0.00581033],0.008249532664002765
[0.32847988 0.77848393 0.01111867],[0.31753741 0.79037154 0.00581033],0.0015973287306058554
