node1,node2,radius
[0.77055161 0.03887473 0.01252906],[0.79321778 0.         0.01252906],0.006682026187026145
[0.75243325 0.06605102 0.01146147],[0.77055161 0.03887473 0.01252906],0.006599851388667086
[0.75015366 0.04213977 0.0043382 ],[0.77055161 0.03887473 0.01252906],0.0031323906826877493
[0.73387216 0.09213338 0.00988635],[0.75243325 0.06605102 0.01146147],0.006182223763934182
[0.76311437 0.0863252  0.00637143],[0.75243325 0.06605102 0.01146147],0.003165222701310692
[0.72885932 0.0469857  0.00234191],[0.75015366 0.04213977 0.0043382 ],0.0020736518386123607
[0.7389455  0.03562722 0.00745933],[0.75015366 0.04213977 0.0043382 ],0.00264662948309886
[0.7168352  0.11855659 0.00922226],[0.73387216 0.09213338 0.00988635],0.006167565864729039
[ 0.72740103  0.09327859 -0.00171497],[0.73387216 0.09213338 0.00988635],0.0008333333333333334
[0.76901572 0.09941498 0.00440375],[0.76311437 0.0863252  0.00637143],0.0029875398600548164
[0.77391569 0.09330766 0.00285653],[0.76311437 0.0863252  0.00637143],0.00145158640923186
[0.70780379 0.04923399 0.00520217],[0.72885932 0.0469857  0.00234191],0.0018252376051147402
[0.71965908 0.05404214 0.00914036],[0.72885932 0.0469857  0.00234191],0.001254759262149869
[0.7293317  0.02666965 0.0097209 ],[0.7389455  0.03562722 0.00745933],0.0024969479044316717
[0.73579743 0.02335865 0.00329403],[0.7389455  0.03562722 0.00745933],0.0012171478171303508
[0.70344661 0.14234254 0.00800235],[0.7168352  0.11855659 0.00922226],0.005712018810015209
[0.70441255 0.11450417 0.01187433],[0.7168352  0.11855659 0.00922226],0.0031324642455838624
[0.77473172 0.11250089 0.00281614],[0.76901572 0.09941498 0.00440375],0.0021179776983551884
[0.75833142 0.10737927 0.0048439 ],[0.76901572 0.09941498 0.00440375],0.0024194860734208234
[0.78721932 0.09298843 0.00202638],[0.77391569 0.09330766 0.00285653],0.0012171478171303508
[0.76874906 0.10551516 0.00142096],[0.77391569 0.09330766 0.00285653],0.0010583326651951185
[0.68894281 0.04767501 0.00817317],[0.70780379 0.04923399 0.00520217],0.0017239895867695756
[0.6979422  0.04731448 0.01396814],[0.70780379 0.04923399 0.00520217],0.0008333333333333334
[0.71137005 0.06399996 0.01228864],[0.71965908 0.05404214 0.00914036],0.0010583326651951185
[0.72022507 0.06723125 0.01101246],[0.71965908 0.05404214 0.00914036],0.0008333333333333334
[0.71962099 0.01765184 0.01119025],[0.7293317  0.02666965 0.0097209 ],0.002177819834246501
[0.73507095 0.01464877 0.01030162],[0.7293317  0.02666965 0.0097209 ],0.0015457767518879816
[0.72717551 0.01341816 0.00544502],[0.73579743 0.02335865 0.00329403],0.0010583326651951185
[0.74212914 0.01162521 0.00317647],[0.73579743 0.02335865 0.00329403],0.0008333333333333334
[0.69098873 0.16611512 0.0064883 ],[0.70344661 0.14234254 0.00800235],0.005599957429723608
[0.68723289 0.14152502 0.00985658],[0.70344661 0.14234254 0.00800235],0.0017541820040588426
[0.69273319 0.10807446 0.01204563],[0.70441255 0.11450417 0.01187433],0.0028852797472982013
[0.69506319 0.11041042 0.00329479],[0.70441255 0.11450417 0.01187433],0.0016301661512080315
[0.77880523 0.12509044 0.0011768 ],[0.77473172 0.11250089 0.00281614],0.0018984189810797502
[0.7866086  0.1103859  0.00849454],[0.77473172 0.11250089 0.00281614],0.0012171478171303508
[0.74794758 0.11566178 0.00368054],[0.75833142 0.10737927 0.0048439 ],0.0017777385704942133
[0.74877112 0.10167735 0.01218328],[0.75833142 0.10737927 0.0048439 ],0.002018074297974861
[0.80018072 0.0961085  0.00223849],[0.78721932 0.09298843 0.00202638],0.0010583326651951185
[0.79482231 0.09930542 0.01097446],[0.78721932 0.09298843 0.00202638],0.0008333333333333334
[7.64706270e-01 1.18155618e-01 1.35545068e-04],[0.76874906 0.10551516 0.00142096],0.0008333333333333334
[0.77088428 0.1134435  0.01192619],[0.76874906 0.10551516 0.00142096],0.0008333333333333334
[0.6747907  0.04261445 0.01009071],[0.68894281 0.04767501 0.00817317],0.0016125698613391414
[ 6.85196115e-01  3.82454603e-02 -4.76893470e-04],[0.68894281 0.04767501 0.00817317],0.0008333333333333334
[0.7114189  0.07711208 0.00987042],[0.71137005 0.06399996 0.01228864],0.0008333333333333334
[0.69814954 0.06564106 0.01283864],[0.71137005 0.06399996 0.01228864],0.0008333333333333334
[0.7249487  0.07961458 0.00955701],[0.72022507 0.06723125 0.01101246],0.0008333333333333334
[0.7084285  0.01043001 0.01178277],[0.71962099 0.01765184 0.01119025],0.002035036249754915
[0.70884106 0.02344405 0.00589674],[0.71962099 0.01765184 0.01119025],0.0010583326651951185
[0.73184779 0.00197503 0.01290266],[0.73507095 0.01464877 0.01030162],0.0008333333333333334
[0.74655596 0.01151088 0.00429946],[0.73507095 0.01464877 0.01030162],0.0014515864092318597
[0.71653203 0.00681495 0.01001577],[0.72717551 0.01341816 0.00544502],0.0008333333333333334
[0.72583959 0.00097121 0.00085517],[0.72717551 0.01341816 0.00544502],0.0008333333333333334
[0.68207622 0.19102251 0.00624808],[0.69098873 0.16611512 0.0064883 ],0.005582861627715817
[ 0.66947936  0.17418291 -0.00305394],[0.69098873 0.16611512 0.0064883 ],0.0008333333333333334
[0.67449562 0.14367187 0.00655037],[0.68723289 0.14152502 0.00985658],0.0015457767518879816
[0.67760387 0.13298143 0.00638285],[0.68723289 0.14152502 0.00985658],0.0010583326651951185
[0.68073184 0.10312235 0.00900887],[0.69273319 0.10807446 0.01204563],0.0026388160890458896
[0.68972758 0.09534599 0.0094514 ],[0.69273319 0.10807446 0.01204563],0.0015457767518879818
[0.68499044 0.10167573 0.00314362],[0.69506319 0.11041042 0.00329479],0.0013440816362628033
[6.86312134e-01 1.20071639e-01 4.91643330e-04],[0.69506319 0.11041042 0.00329479],0.0012171478171303506
[0.78049178 0.1371365  0.00663809],[0.77880523 0.12509044 0.0011768 ],0.0016301661512080315
[7.85423005e-01 1.36654703e-01 6.76192987e-04],[0.77880523 0.12509044 0.0011768 ],0.0012171478171303508
[0.7963797  0.10235962 0.01272328],[0.7866086  0.1103859  0.00849454],0.0008333333333333334
[0.79325237 0.12130138 0.01230115],[0.7866086  0.1103859  0.00849454],0.0010583326651951185
[0.7369195  0.12308148 0.0047329 ],[0.74794758 0.11566178 0.00368054],0.0010583326651951185
[0.75068738 0.12858413 0.00186831],[0.74794758 0.11566178 0.00368054],0.0016301661512080317
[0.73616718 0.09732883 0.01227729],[0.74877112 0.10167735 0.01218328],0.0008333333333333334
[0.75043718 0.08845671 0.01171754],[0.74877112 0.10167735 0.01218328],0.0019631352355467136
[0.81107161 0.10378344 0.00172695],[0.80018072 0.0961085  0.00223849],0.0008333333333333334
[0.80514943 0.105477   0.01032064],[0.80018072 0.0961085  0.00223849],0.0008333333333333334
[0.66221262 0.03642188 0.01261346],[0.6747907  0.04261445 0.01009071],0.0014877253802780906
[0.66483789 0.03954549 0.00176599],[0.6747907  0.04261445 0.01009071],0.0008333333333333334
[0.69686819 0.00424558 0.00935586],[0.7084285  0.01043001 0.01178277],0.0019504357960425205
[0.69931796 0.00607831 0.00307423],[0.7084285  0.01043001 0.01178277],0.0008333333333333334
[0.6963901  0.02376748 0.00113785],[0.70884106 0.02344405 0.00589674],0.0008333333333333334
[0.7002738  0.03036576 0.01341138],[0.70884106 0.02344405 0.00589674],0.0008333333333333334
[0.75935923 0.0136664  0.00126503],[0.74655596 0.01151088 0.00429946],0.0013440816362628033
[7.51457501e-01 6.85332790e-04 1.03459493e-02],[0.74655596 0.01151088 0.00429946],0.0008333333333333334
[ 0.70786425 -0.00215937  0.00531373],[0.71653203 0.00681495 0.01001577],0.0008333333333333334
[0.67653783 0.21642821 0.0048181 ],[0.68207622 0.19102251 0.00624808],0.005461614787135809
[0.6608884  0.19970431 0.00107706],[0.68207622 0.19102251 0.00624808],0.0017830975433538374
[0.66149769 0.14469355 0.00375975],[0.67449562 0.14367187 0.00655037],0.0014515864092318597
[0.66467347 0.13628859 0.0117263 ],[0.67449562 0.14367187 0.00655037],0.0008333333333333334
[0.66637897 0.12677495 0.01002414],[0.67760387 0.13298143 0.00638285],0.0008333333333333334
[ 0.67633898  0.12178952 -0.00075292],[0.67760387 0.13298143 0.00638285],0.0008333333333333334
[0.66888588 0.09903765 0.00445188],[0.68073184 0.10312235 0.00900887],0.0025255855829491294
[0.67039007 0.11095197 0.00592299],[0.68073184 0.10312235 0.00900887],0.0010936282814384937
[0.68359932 0.08361016 0.0110302 ],[0.68972758 0.09534599 0.0094514 ],0.00145158640923186
[0.70193258 0.09009007 0.00835997],[0.68972758 0.09534599 0.0094514 ],0.0008333333333333334
[0.67477229 0.09363847 0.00610496],[0.68499044 0.10167573 0.00314362],0.0012171478171303508
[0.68094118 0.092665   0.01209839],[0.68499044 0.10167573 0.00314362],0.0008333333333333334
[0.68509071 0.13332808 0.00123509],[6.86312134e-01 1.20071639e-01 4.91643330e-04],0.0012171478171303508
[0.78754689 0.14812263 0.00934144],[0.78049178 0.1371365  0.00663809],0.0015457767518879818
[0.76958407 0.14129795 0.01307875],[0.78049178 0.1371365  0.00663809],0.0008333333333333334
[7.84808722e-01 1.49967129e-01 2.52218534e-04],[7.85423005e-01 1.36654703e-01 6.76192987e-04],0.0008333333333333334
[0.79761266 0.14087921 0.00404422],[7.85423005e-01 1.36654703e-01 6.76192987e-04],0.0010583326651951185
[0.80102698 0.13188876 0.01001187],[0.79325237 0.12130138 0.01230115],0.0008333333333333334
[0.79208945 0.13080102 0.00301771],[0.79325237 0.12130138 0.01230115],0.0008333333333333334
[0.72583238 0.1223842  0.01210632],[0.7369195  0.12308148 0.0047329 ],0.0008333333333333334
[ 7.26397092e-01  1.29696697e-01 -9.36492021e-05],[0.7369195  0.12308148 0.0047329 ],0.0008333333333333334
[7.51184895e-01 1.41849673e-01 6.21027438e-04],[0.75068738 0.12858413 0.00186831],0.00145158640923186
[0.74259181 0.13707575 0.00820329],[0.75068738 0.12858413 0.00186831],0.0010583326651951185
[0.75533631 0.07606082 0.01206141],[0.75043718 0.08845671 0.01171754],0.0017777385704942136
[0.73970707 0.08058946 0.01258289],[0.75043718 0.08845671 0.01171754],0.0012171478171303508
[0.82021876 0.10907547 0.00985726],[0.81107161 0.10378344 0.00172695],0.0008333333333333334
[0.65189446 0.02881874 0.00893843],[0.66221262 0.03642188 0.01261346],0.0013440816362628035
[0.65312331 0.03588144 0.00287333],[0.66221262 0.03642188 0.01261346],0.0008333333333333334
[0.68401953 0.00179273 0.00677262],[0.69686819 0.00424558 0.00935586],0.0018597275886356032
[0.68476606 0.00850021 0.01299103],[0.69686819 0.00424558 0.00935586],0.0008333333333333334
[0.6832352  0.02161059 0.00086582],[0.6963901  0.02376748 0.00113785],0.0008333333333333334
[0.77172708 0.01737553 0.00459015],[0.75935923 0.0136664  0.00126503],0.0012171478171303508
[0.76425984 0.01682511 0.01325604],[0.75935923 0.0136664  0.00126503],0.0008333333333333334
[0.67263596 0.24169487 0.00286016],[0.67653783 0.21642821 0.0048181 ],0.005251161822882208
[0.68640879 0.2290373  0.00544738],[0.67653783 0.21642821 0.0048181 ],0.002172938038913878
[6.40688844e-01 2.01822058e-01 2.97937154e-04],[0.6608884  0.19970431 0.00107706],0.001254759262149869
[0.64905977 0.20256965 0.00652234],[0.6608884  0.19970431 0.00107706],0.00145158640923186
[0.64954566 0.13878911 0.00350605],[0.66149769 0.14469355 0.00375975],0.0013440816362628033
[0.65360536 0.15085024 0.01256794],[0.66149769 0.14469355 0.00375975],0.0008333333333333334
[0.65592634 0.09799038 0.00149697],[0.66888588 0.09903765 0.00445188],0.0022972969541674836
[ 6.61680508e-01  8.89329801e-02 -4.22139472e-04],[0.66888588 0.09903765 0.00445188],0.0013812465444843806
[0.66027251 0.119593   0.00505966],[0.67039007 0.11095197 0.00592299],0.0008333333333333334
[0.6587213  0.10496091 0.00353034],[0.67039007 0.11095197 0.00592299],0.0008333333333333334
[0.68090296 0.07055571 0.01132784],[0.68359932 0.08361016 0.0110302 ],0.0012171478171303508
[0.6929695  0.07427687 0.01272351],[0.68359932 0.08361016 0.0110302 ],0.0010583326651951185
[0.71469682 0.09132759 0.00471026],[0.70193258 0.09009007 0.00835997],0.0008333333333333334
[0.66643748 0.08565019 0.0127755 ],[0.67477229 0.09363847 0.00610496],0.0008333333333333334
[0.67893962 0.08144199 0.00269074],[0.67477229 0.09363847 0.00610496],0.0010583326651951185
[0.68208934 0.1461225  0.00348727],[0.68509071 0.13332808 0.00123509],0.0008333333333333334
[0.69691396 0.13946524 0.00180401],[0.68509071 0.13332808 0.00123509],0.0010583326651951185
[0.79004359 0.16021416 0.00430765],[0.78754689 0.14812263 0.00934144],0.0013440816362628033
[0.8001214  0.15157321 0.00655703],[0.78754689 0.14812263 0.00934144],0.0010583326651951185
[0.75681404 0.14325972 0.00978397],[0.76958407 0.14129795 0.01307875],0.0008333333333333334
[0.80953704 0.14262713 0.00974787],[0.79761266 0.14087921 0.00404422],0.0008333333333333334
[8.10428759e-01 1.41931267e-01 5.20210135e-04],[0.79761266 0.14087921 0.00404422],0.0008333333333333334
[0.71343528 0.12722583 0.01291141],[0.72583238 0.1223842  0.01210632],0.0008333333333333334
[7.59772229e-01 1.52049379e-01 6.59479797e-04],[7.51184895e-01 1.41849673e-01 6.21027438e-04],0.0010583326651951185
[0.74150921 0.15071376 0.00298466],[7.51184895e-01 1.41849673e-01 6.21027438e-04],0.0012171478171303508
[0.72994469 0.13646782 0.01238165],[0.74259181 0.13707575 0.00820329],0.0008333333333333334
[0.74036082 0.14891818 0.01390918],[0.74259181 0.13707575 0.00820329],0.0008333333333333334
[0.76636791 0.06857463 0.01225737],[0.75533631 0.07606082 0.01206141],0.0013440816362628035
[0.757      0.06344296 0.00808657],[0.75533631 0.07606082 0.01206141],0.00145158640923186
[0.73033308 0.07198897 0.0085907 ],[0.73970707 0.08058946 0.01258289],0.0008333333333333334
[0.74380985 0.06833208 0.00931154],[0.73970707 0.08058946 0.01258289],0.0010583326651951185
[0.63950674 0.02656159 0.00455353],[0.65189446 0.02881874 0.00893843],0.0010583326651951185
[0.64958426 0.01599025 0.0117439 ],[0.65189446 0.02881874 0.00893843],0.0010583326651951185
[0.6709471  0.00129273 0.00419591],[0.68401953 0.00179273 0.00677262],0.001580788247249157
[0.67923862 0.01421774 0.0060378 ],[0.68401953 0.00179273 0.00677262],0.0012171478171303508
[6.72448379e-01 1.37997272e-02 2.23353331e-04],[0.6832352  0.02161059 0.00086582],0.0008333333333333334
[0.78466561 0.02054798 0.00403548],[0.77172708 0.01737553 0.00459015],0.0010583326651951185
[0.78429212 0.02183303 0.00442256],[0.77172708 0.01737553 0.00459015],0.0008333333333333334
[0.67781974 0.26634499 0.00464622],[0.67263596 0.24169487 0.00286016],0.0051628177689839
